City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Petropavlovsk-Kamchatskiy,RU,2021-09-25 21:48:43,53.0452,158.6483,37.99,93,20,8.95
155,Upernavik,GL,2021-09-25 21:48:44,72.7868,-56.1549,20.61,69,2,5.79
156,Kahului,US,2021-09-25 21:48:44,20.8947,-156.47,87.82,72,40,20.71
157,Duku,NG,2021-09-25 21:48:44,11.2361,4.9073,75.51,87,100,4.68
158,Medicine Hat,CA,2021-09-25 21:48:45,50.0501,-110.6683,87.24,24,75,1.99
159,Bitkine,TD,2021-09-25 21:48:45,11.9801,18.2138,79.61,68,100,7.09
160,Usinsk,RU,2021-09-25 21:48:45,65.9939,57.5281,37.0,82,96,9.66
161,Mount Gambier,AU,2021-09-25 21:48:46,-37.8333,140.7667,35.51,93,40,5.75
162,Yaan,NG,2021-09-25 21:48:46,7.3833,8.5667,71.04,97,99,4.25
163,Broken Hill,AU,2021-09-25 21:48:46,-31.95,141.4333,44.31,53,0,5.75
164,Ilulissat,GL,2021-09-25 21:48:47,69.2167,-51.1,24.82,50,75,4.61
165,Marfino,RU,2021-09-25 21:48:47,55.7028,37.3822,49.91,98,90,8.95
166,Santiago De Cao,PE,2021-09-25 21:48:47,-7.9589,-79.2392,62.73,82,90,10.36
167,Pontianak,ID,2021-09-25 21:48:48,-0.0333,109.3333,75.18,100,90,2.3
168,Airai,TL,2021-09-25 21:48:48,-8.9266,125.4092,59.47,82,55,2.08
169,Terney,RU,2021-09-25 21:48:48,45.0503,136.6092,57.25,63,100,3.74
170,San Andres,CO,2021-09-25 21:45:24,12.5847,-81.7006,80.62,94,90,2.3
171,Mahebourg,MU,2021-09-25 21:48:49,-20.4081,57.7,71.89,78,40,14.97
172,Nigde,TR,2021-09-25 21:48:49,37.8333,34.75,49.5,60,0,4.32
173,Bengkulu,ID,2021-09-25 21:48:49,-3.8004,102.2655,75.58,92,100,2.21
174,Bethel,US,2021-09-25 21:48:49,41.3712,-73.414,72.9,75,16,3.44
175,Geraldton,AU,2021-09-25 21:48:50,-28.7667,114.6,63.01,72,75,10.36
176,Yola,NG,2021-09-25 21:48:50,9.2,12.4833,77.0,83,99,2.91
177,Guerrero Negro,MX,2021-09-25 21:48:50,27.9769,-114.0611,76.91,62,85,16.46
178,Kashan,IR,2021-09-25 21:48:51,33.9831,51.4364,79.27,15,0,1.72
179,Manggar,ID,2021-09-25 21:48:51,-2.8833,108.2667,79.99,81,94,3.51
180,Luxor,EG,2021-09-25 21:48:51,25.6989,32.6421,77.05,38,0,6.91
181,Kodiak,US,2021-09-25 21:48:51,57.79,-152.4072,45.91,49,1,8.05
