City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Hervey Bay,AU,71.71,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
502,Tucuman,AR,78.8,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
503,Tuckahoe,US,82.35,clear sky,37.5901,-77.5564,The Westin Richmond
505,Rock Sound,BS,81.21,scattered clouds,24.9,-76.2,Rock Sound Club
507,Cururupu,BR,75.63,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
513,Butterworth,MY,77.05,scattered clouds,5.3991,100.3638,Cititel Penang
516,Tecoanapa,MX,84.78,few clouds,16.5167,-98.75,Hotel Manglares
519,Padang,ID,76.69,overcast clouds,-0.9492,100.3543,Mercure Padang
520,Bojonegoro,ID,75.56,few clouds,-7.1502,111.8817,Dewarna Hotel & Convention
521,Paulo Ramos,BR,82.78,broken clouds,-4.2167,-45.1833,Hotel milena
523,Atambua,ID,71.73,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
524,Pyu,MM,72.7,overcast clouds,18.4833,96.4333,Mr Bo Bo
527,Sao Jose Da Coroa Grande,BR,75.9,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
528,Carauari,BR,78.6,light rain,-4.8828,-66.8958,Hotel Fellip
532,Xuddur,SO,74.88,broken clouds,4.1213,43.8894,Banjanay Hotel
535,Luwuk,ID,76.51,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
536,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
537,Cap Malheureux,MU,72.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
539,Kieta,PG,79.93,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
540,Golakganj,IN,77.56,overcast clouds,26.1,89.8333,Chilarai Girl's Hostel
541,Cockburn Town,TC,83.48,few clouds,21.4612,-71.1419,Osprey Beach Hotel
547,Xai-Xai,MZ,70.36,clear sky,-25.0519,33.6442,Complexo da Familia
550,Jagtial,IN,72.82,overcast clouds,18.8,78.9333,Somulaxmni water plant
551,Miandrivazo,MG,81.18,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
552,Le Port,RE,71.56,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
553,Platteville,US,80.58,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
554,Griffith,US,78.1,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
557,Sinnamary,GF,80.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
560,Salinopolis,BR,78.76,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
563,Obama,JP,74.61,broken clouds,35.4958,135.746,Sekumiya
565,Vung Tau,VN,79.99,broken clouds,10.346,107.0843,Green hotel
566,Puerto Leguizamo,CO,73.87,light rain,-0.1934,-74.7819,la casona de juancho
571,Trairi,BR,79.43,clear sky,-3.2778,-39.2689,janelas do mar
572,Sadao,TH,76.82,overcast clouds,6.6388,100.4234,Banana Resort Sadao
574,Awbari,LY,77.56,clear sky,26.5921,12.7805,فندق أوباري
576,Lodi,US,81.54,clear sky,38.1302,-121.2725,Wine & Roses
